H1,H2,H2,H3,L2
H4,L1,H1,W,L1
L1,SW,L3,L4,L3
H1,L2,B,H1,L2
L1,W,L1,H2,W
BT,L1,W,L3,W
H1,L3,W,H2,W
SW,L2,L2,H1,L1
L1,L2,H4,L2,L1
L3,L3,L2,L3,L1
L2,BT,SW,L3,L3
L2,H1,W,H2,L4
L3,L2,L1,H1,SW
L3,L2,L2,L4,W
W,L3,H2,L1,H3
L3,L1,L2,L4,L3
H1,L2,L2,L1,H1
L1,L4,L2,L3,L3
W,H3,L2,W,H1
L3,W,BT,W,H3
L3,BT,L3,H2,H1
L1,L3,L1,W,L1
L3,L1,L2,L2,W
L1,W,W,H2,L2
W,L1,W,L2,L4
H2,W,H1,L2,H2
L2,L3,L4,W,L2
L1,L3,L4,L4,SW
L4,L1,L2,H1,L1
L3,L1,SW,L2,L2
L3,H1,L1,H4,H2
L4,L1,L4,L1,W
H4,L4,L1,L2,L3
H1,L2,L4,W,H2
W,H1,W,H4,B
H2,H4,H2,W,L3
H1,H1,W,L2,L2
H1,W,H1,L4,L2
H2,L3,L3,H1,L1
W,W,L2,L4,L2
H3,BT,W,H2,H1
L4,L1,L1,L1,BT
W,L3,H4,H1,W
L1,W,L1,L1,L3
L3,L3,W,H1,W
H1,H4,L4,L2,W
L4,H1,SW,H3,H1
W,B,L2,L1,L4
L1,H1,BT,H1,L1
H3,SW,H1,W,H3
H3,SW,L3,L2,L3
L1,L2,L1,L2,H2
L3,L1,H2,SW,L4
W,L4,W,L2,W
H2,L4,W,L3,L1
L2,H3,H3,L4,L3
L3,B,L2,H1,L3
H1,H2,BT,L1,H3
W,L4,L4,L1,SW
L4,L1,L2,W,L2
W,SW,W,H2,H3
W,BT,L4,W,L4
BT,H3,L3,L3,L4
L3,H1,H2,W,H2
BT,L1,H2,SW,L1
H2,L1,L3,SW,L2
BT,L3,H2,L1,L3
H1,BT,L4,L3,L4
H2,H2,L1,L2,W
L4,L2,W,W,L2
BT,H1,W,L3,H1
L1,L4,L3,H3,B
L2,W,L1,H1,H4
L4,L4,BT,H1,W
L1,H1,L2,L3,H1
H2,L1,H4,L4,L3
L2,H2,H2,H1,B
L4,L2,L3,L4,H4
H2,L1,L1,W,L3
L2,H2,H4,H3,L3
W,L4,H4,L2,H3
L4,H2,H2,L3,L2
H3,B,L1,L1,L3
H2,H4,W,L2,L4
L2,H3,H1,L3,W
L1,W,W,L1,L1
H3,L3,L4,W,H3
L2,BT,L4,BT,L4
L2,L2,W,L4,W
H3,H4,L2,B,L2
H2,L4,L3,SW,H1
W,H4,H3,H1,H1
H1,L1,H1,L1,W
H3,SW,L3,H2,H1
H2,H4,W,L3,SW
L2,W,L2,L2,L1
W,H3,SW,H4,H2
L4,H2,H2,H1,L2
L3,H3,H2,L1,H2
L3,W,W,L3,H2
W,L4,H2,L1,W
W,L1,L3,H4,L4
H1,H2,L3,H2,L2
L1,L3,L1,H1,L3
L3,H1,B,L2,H2
L1,W,W,H2,L4
H4,L2,L4,L4,L1
H3,H3,BT,L2,H4
L1,H3,H3,H4,L4
H4,H2,L1,W,H4
SW,L4,L1,BT,L2
L1,L2,H1,W,SW
L1,L2,L1,L3,L1
H4,H2,H3,L1,L4
L2,W,W,L2,B
W,W,L2,H4,L3
H1,L4,L3,W,H2
H1,L1,L1,H4,H1
L1,L2,L4,L1,L4
L2,W,H1,H2,W
W,L2,L2,L2,H3
B,W,H1,W,BT
BT,W,W,W,L3
L2,H1,L3,L2,L1
BT,L1,L2,H3,L3
H4,L3,BT,L3,H1
W,W,BT,L1,H1
L2,L2,L1,L4,L2
W,L3,L3,W,H3
L1,L1,H1,L3,L1
H4,L4,H1,L3,L1
L4,L1,H3,L2,L3
BT,W,H4,W,L4
L1,H1,L1,L1,H1
H1,BT,B,H3,H2
H1,L3,L2,L3,L3
L2,H2,L2,L4,BT
W,L4,L4,L3,H1
L4,H2,L4,H3,L2
L1,L1,H3,L1,H2
L4,L3,BT,H1,H1
W,L2,L2,SW,W
W,L4,L2,W,H4
L1,L3,H3,H2,L2
W,H3,L3,BT,L1
H2,H2,L1,W,L3
L2,W,L3,L3,L4
L4,L3,H3,W,H1
H1,SW,L3,H1,H1
H2,L2,L4,L4,H3
L4,L2,W,W,L2
L3,H2,L2,B,L2
H3,L3,H3,H4,H2
H1,H3,W,H2,W
L4,L3,H2,H3,H3
L2,BT,L4,W,L3
L1,L3,W,L1,L1
L3,W,L1,H1,L4
B,H3,H3,L4,H1
L3,L4,L4,H3,H2
H3,L1,L2,L3,L2
L2,L4,L4,L4,L1
L2,W,L4,L2,W
H3,L1,L4,H2,H3
H2,L1,L4,L1,L3
L3,B,L2,BT,L3
B,L1,H1,H2,L4
H2,L4,L3,H3,L4
L4,L2,L3,B,W
BT,W,H1,W,L1
L3,H2,SW,L4,H4
L3,H2,H4,L3,W
L4,L3,H1,L1,H2
L4,L1,L3,L4,L4
H3,H1,H2,H1,L4
H3,BT,L3,W,L2
L2,L2,H1,L2,L1
L3,L3,W,H3,L3
B,L2,L4,L4,H2
L4,L3,H3,B,L4
W,L2,W,L3,L1
W,W,L1,W,W
L4,L1,H3,L3,L4
L4,H1,L1,L2,H4
L4,H1,L1,L1,SW
L2,L3,H2,L1,L4
L2,L2,L4,H1,W
BT,L2,H1,L3,W
SW,H4,H2,SW,W
H4,H4,L1,L4,W
L1,L3,L4,L2,W
BT,H1,L3,H3,H3
H2,L1,L3,L4,H1
L2,W,L3,L3,L1
L4,W,H3,L1,H1
L3,L4,H1,W,L1
